id_i,ctry,sex,age,dem,dem_group,aut,civ,ses,edu,level,level_lab
8093,Chile,1,13.5,2,complex,42.55,514.89,-0.19,0,2,level 2
9243,Chile,0,13.83,3,limited,57.94,334.68,-0.56,0,0,level 0
7484,Chile,0,14.17,3,limited,17.67,527.46,-0.23,0,2,level 2
7187,Chile,0,14.5,2,complex,17.67,612.81,-0.81,0,3,level 3
9208,Chile,1,13.42,1,minimalist,38.07,479.65,-0.17,0,2,level 2
6863,Chile,1,13.33,2,complex,47.94,556.01,1.08,1,2,level 2
8736,Chile,0,13.92,3,limited,59.24,548.08,-1.03,0,2,level 2
9067,Chile,1,13.42,2,complex,51.06,391.79,-0.54,0,0,level 0
9691,Chile,0,14.25,3,limited,27.06,530.32,0.01,0,2,level 2
7096,Chile,1,14.25,1,minimalist,49.54,481.76,0.5,0,2,level 2
8552,Chile,0,13.92,1,minimalist,55.3,424.8,-0.11,0,1,level 1
8273,Chile,1,13.83,1,minimalist,40.44,340.27,-0.46,0,0,level 0
6745,Chile,0,14.25,1,minimalist,59.24,268.9,-0.8,0,0,level 0
7433,Chile,0,13.83,2,complex,42.55,517.04,0.66,1,2,level 2
6210,Chile,1,13.58,3,limited,44.48,467.67,-0.2,0,1,level 1
8166,Chile,0,14,2,complex,38.07,538.94,0.94,1,2,level 2
6231,Chile,0,13.83,1,minimalist,17.67,522.42,1.08,1,2,level 2
7630,Chile,1,14.08,2,complex,35.3,609.69,-0.5,0,3,level 3
6355,Chile,1,13.42,2,complex,47.94,548.19,-0.74,0,2,level 2
6181,Chile,1,13.92,2,complex,35.3,608.55,2.49,1,3,level 3
6766,Chile,0,14,3,limited,17.67,439.43,2.13,1,1,level 1
8750,Chile,0,14.67,1,minimalist,52.52,463.54,-0.88,0,1,level 1
10668,Chile,0,13.67,3,limited,42.55,531.62,0.83,1,2,level 2
10623,Chile,0,15.42,1,minimalist,35.3,396.08,-0.87,0,1,level 1
9775,Chile,1,14.25,2,complex,35.3,504.49,-0.61,0,2,level 2
6223,Chile,1,13.33,3,limited,59.24,495.21,0.61,1,2,level 2
10028,Chile,0,13.5,1,minimalist,70.18,376.07,-1.29,0,0,level 0
7384,Chile,1,14.25,2,complex,35.3,568.43,0.34,0,3,level 3
7060,Chile,1,14.08,1,minimalist,49.54,492.53,-0.24,0,2,level 2
8910,Chile,1,14.75,1,minimalist,44.48,487.01,-1.12,0,2,level 2
7883,Chile,0,16.58,1,minimalist,52.52,498.39,0.36,0,2,level 2
7444,Chile,0,13.92,1,minimalist,44.48,559.9,2.03,0,2,level 2
9305,Chile,1,13.5,2,complex,84.74,521.65,0.78,0,2,level 2
8812,Chile,1,13.83,1,minimalist,35.3,574.73,1.97,1,3,level 3
6645,Chile,1,14.08,3,limited,46.26,535.52,0.95,0,2,level 2
6441,Chile,1,13.75,1,minimalist,53.93,415.39,-0.57,0,1,level 1
7010,Chile,1,13.67,2,complex,17.67,548.03,1.97,1,2,level 2
6550,Chile,0,13.83,1,minimalist,40.44,560.16,-0.17,0,2,level 2
7299,Chile,1,14.08,3,limited,55.3,399.44,-0.37,0,1,level 1
8958,Chile,1,15.67,3,limited,43.51,494.15,0.88,1,2,level 2
9921,Chile,1,14.33,1,minimalist,44.48,581.47,-0.64,0,3,level 3
9414,Chile,1,14,1,minimalist,40.44,651.4,1.99,1,3,level 3
9028,Chile,1,14.08,1,minimalist,38.07,525.2,-0.4,0,2,level 2
6919,Chile,1,14.17,1,minimalist,17.67,643.39,2.13,1,3,level 3
7522,Chile,1,16.83,1,minimalist,44.48,520.63,-1.04,0,2,level 2
8756,Chile,1,13.42,3,limited,52.52,517.53,-0.42,0,2,level 2
7217,Chile,0,13.67,3,limited,38.07,416.61,0.72,1,1,level 1
9457,Chile,0,14.17,3,limited,61.87,367.63,-0.9,0,0,level 0
7211,Chile,0,14,3,limited,32.73,435.67,-1.76,0,1,level 1
5972,Chile,1,14.17,2,complex,31.87,507.24,-0.7,0,2,level 2
10678,Chile,0,14.17,2,complex,31.87,645.72,1.58,1,3,level 3
9563,Chile,1,13.58,1,minimalist,52.03,462.39,-0.89,0,1,level 1
8624,Chile,0,16.5,3,limited,85.37,304.15,-1.16,0,0,level 0
9374,Chile,1,13.83,2,complex,35.3,590.75,-0.07,0,3,level 3
6757,Chile,0,14.25,1,minimalist,52.52,323.86,-1.36,0,0,level 0
7160,Chile,1,14,2,complex,31.87,495.03,-1.04,0,2,level 2
9667,Chile,0,14.67,2,complex,46.26,589.8,-0.27,0,3,level 3
8840,Chile,1,15.25,1,minimalist,55.3,426.78,-0.67,0,1,level 1
8662,Chile,0,13.75,2,complex,17.67,513.15,1.09,0,2,level 2
9174,Chile,0,14.33,3,limited,59.24,357.95,-0.51,0,0,level 0
7887,Chile,0,15.17,2,complex,42.55,486.99,-1.15,0,2,level 2
7523,Chile,1,15.25,1,minimalist,38.07,532.98,-0.51,0,2,level 2
9267,Chile,1,13.67,2,complex,31.87,596.97,1.83,1,3,level 3
8255,Chile,1,14,2,complex,40.44,487.17,-0.03,0,2,level 2
10387,Chile,0,14.58,2,complex,31.87,604.37,1.99,1,3,level 3
10357,Chile,0,13.58,1,minimalist,52.52,523.67,0.45,1,2,level 2
6260,Chile,0,15.25,1,minimalist,NA,561.47,1.05,1,2,level 2
8278,Chile,1,14.25,2,complex,42.55,552.98,1.99,1,2,level 2
10537,Chile,1,14.33,2,complex,46.26,487.7,-1.09,0,2,level 2
6283,Chile,1,14.25,1,minimalist,47.94,496.1,1.03,0,2,level 2
10701,Chile,0,15.33,1,minimalist,63.24,340.08,-1.58,0,0,level 0
9081,Chile,0,13.42,1,minimalist,59.24,390.92,-0.43,0,0,level 0
6490,Chile,1,14.75,2,complex,38.07,470.95,-1.61,0,1,level 1
9525,Chile,0,14,1,minimalist,59.22,353.4,0.06,0,0,level 0
7197,Chile,1,15.92,1,minimalist,NA,427.52,NA,NA,1,level 1
7285,Chile,1,14,3,limited,47.94,516.72,-0.12,0,2,level 2
8581,Chile,1,14.25,2,complex,36.02,571.04,1.52,1,3,level 3
6625,Chile,0,14.42,3,limited,47.94,450.66,0.76,0,1,level 1
10146,Chile,0,14.25,1,minimalist,17.67,506.91,-0.87,0,2,level 2
8264,Chile,1,14,1,minimalist,61.87,282.22,-0.13,0,0,level 0
6996,Chile,1,14.17,2,complex,27.06,507.78,1.52,1,2,level 2
8996,Chile,1,14,1,minimalist,35.3,450.37,1.47,1,1,level 1
10196,Chile,1,13.58,2,complex,46.26,416.41,-0.04,0,1,level 1
6906,Chile,1,13.83,3,limited,47.55,445.89,1.63,1,1,level 1
7916,Chile,0,14.83,1,minimalist,60.54,313.23,-1.25,0,0,level 0
7758,Chile,1,14.25,1,minimalist,31.87,451.5,-1.08,0,1,level 1
9570,Chile,0,13.83,3,limited,46.26,393.35,-0.88,0,0,level 0
7147,Chile,1,13.83,1,minimalist,51.06,414.6,-0.23,0,1,level 1
9588,Chile,1,14.17,3,limited,46.35,438.05,-1.75,0,1,level 1
8866,Chile,1,14.25,1,minimalist,53.93,287.85,0.54,0,0,level 0
9020,Chile,1,14.92,1,minimalist,61.87,448.38,-0.44,0,1,level 1
10329,Chile,1,14.75,1,minimalist,51.06,359.03,NA,0,0,level 0
8836,Chile,1,14.25,1,minimalist,49.54,519.59,-1.5,0,2,level 2
10517,Chile,0,14.67,1,minimalist,42.55,538.31,1.46,1,2,level 2
7608,Chile,0,16.92,3,limited,49.54,481.3,-1.18,0,2,level 2
9000,Chile,1,13.92,2,complex,38.07,571.2,-0.6,0,3,level 3
8107,Chile,1,14.17,2,complex,42.55,558.05,1.61,1,2,level 2
8620,Chile,1,14.08,2,complex,40.44,578.56,1.39,1,3,level 3
10549,Chile,1,14.25,1,minimalist,44.48,465.62,-1.3,0,1,level 1
7641,Chile,1,14.67,1,minimalist,17.67,378.44,-0.39,0,0,level 0
8049,Chile,1,14.67,1,minimalist,40.64,404.92,-1.19,0,1,level 1
7291,Chile,1,14.58,2,complex,45.54,400.07,1.07,1,1,level 1
7652,Chile,1,13.75,1,minimalist,35.3,447.56,1.01,0,1,level 1
7286,Chile,0,16.17,3,limited,55.3,360.94,-0.3,0,0,level 0
9965,Chile,1,14.42,1,minimalist,53.83,540.35,0.39,1,2,level 2
6558,Chile,0,14.5,3,limited,59.24,413.54,NA,NA,1,level 1
10430,Chile,0,13.92,3,limited,49.54,477.72,0.69,1,1,level 1
8395,Chile,0,15.58,3,limited,46.26,316.78,0.07,0,0,level 0
9725,Chile,1,14.08,3,limited,40.44,554.11,-0.9,0,2,level 2
9357,Chile,0,14.92,3,limited,56.63,433.53,-0.23,0,1,level 1
8141,Chile,0,14.08,2,complex,17.67,587.99,1.16,1,3,level 3
6232,Chile,0,15.33,2,complex,17.67,468.88,1.14,1,1,level 1
8259,Chile,1,13.5,3,limited,60.54,296.07,-0.24,0,0,level 0
9467,Chile,0,13.83,1,minimalist,51.06,360.77,-0.95,0,0,level 0
7860,Chile,1,13.5,1,minimalist,49.54,538.98,-0.94,0,2,level 2
6533,Chile,0,15.17,1,minimalist,52.52,486.72,-0.38,0,2,level 2
7729,Chile,1,14.17,2,complex,35.3,634.06,1.83,1,3,level 3
6171,Chile,1,14.25,2,complex,27.06,533.77,-0.51,0,2,level 2
10181,Chile,0,14.08,1,minimalist,57.94,243.81,1.25,1,0,level 0
8751,Chile,0,14.17,3,limited,51.06,466.3,-1.41,0,1,level 1
7717,Chile,1,14.75,1,minimalist,46.26,403.96,-1.62,0,1,level 1
9011,Chile,1,13.58,3,limited,61.87,359.38,-0.76,0,0,level 0
10594,Chile,0,14.08,2,complex,46.26,431.8,0.66,1,1,level 1
10694,Chile,0,14,1,minimalist,49.54,389.86,-0.55,0,0,level 0
10630,Chile,1,14,2,complex,47.94,451.55,-0.23,0,1,level 1
9590,Chile,0,13.67,3,limited,53.93,412.16,-1.8,0,1,level 1
9110,Chile,1,14,2,complex,40.44,525.03,0.23,0,2,level 2
9294,Chile,1,16,2,complex,31.87,592.69,-0.56,0,3,level 3
9131,Chile,1,14.08,1,minimalist,44.48,453.53,1.52,1,1,level 1
6945,Chile,1,13.58,1,minimalist,49.54,487.64,0.85,1,2,level 2
10341,Chile,1,14,2,complex,44.48,466.51,-1.36,0,1,level 1
6076,Chile,0,13.33,3,limited,27.06,262.69,0.48,0,0,level 0
10128,Chile,0,14.17,2,complex,35.3,523.01,0.14,0,2,level 2
10407,Chile,0,13.33,3,limited,55.3,361.52,-0.87,0,0,level 0
9105,Chile,1,13.67,2,complex,49.54,490.75,-0.12,0,2,level 2
9238,Chile,1,13.58,1,minimalist,46.26,583.71,0.25,0,3,level 3
10044,Chile,1,13.33,1,minimalist,61.87,373.93,-1.24,0,0,level 0
9295,Chile,0,14.25,1,minimalist,42.55,585.3,0.14,0,3,level 3
10242,Chile,1,13.5,1,minimalist,44.48,572.33,-1.36,0,3,level 3
10325,Chile,0,14.08,3,limited,17.67,428.11,-0.89,0,1,level 1
9985,Chile,1,13.83,1,minimalist,27.06,647.22,0.72,0,3,level 3
