id_i,id_j,scie,sex,rep,age,grd,ses,dep,ctry
7611939,7600001,355.569,1,NA,16,7,NA,0,BRA
7600555,7600001,261.695,0,1,15.25,9,NA,0,BRA
7628061,7600001,393.991,1,NA,15.583333333333334,7,-2.267,0,BRA
7600870,7600001,402.095,0,1,15.583333333333334,10,-1.3491,0,BRA
7618158,7600001,336.769,0,0,15.333333333333334,10,NA,0,BRA
7610825,7600001,305.606,0,NA,15.833333333333334,10,NA,0,BRA
7629846,7600001,360.431,0,1,16,10,-0.0155,0,BRA
7617208,7600001,262.37,0,0,15.25,10,-1.0678,0,BRA
7609201,7600001,231.588,0,0,16,10,-1.4845,0,BRA
7606503,7600001,260.859,1,1,15.416666666666666,10,-2.0317,0,BRA
7629227,7600001,276.506,0,1,15.75,9,-2.5113,0,BRA
7621770,7600001,378.073,0,1,15.083333333333334,9,NA,0,BRA
7615559,7600001,311.626,1,0,15.416666666666666,9,-2.0937,0,BRA
7605088,7600001,178.94,1,NA,15.833333333333334,9,-1.3373,0,BRA
7612036,7600001,347.203,1,1,15.333333333333334,9,-1.5917,0,BRA
7600352,7600001,313.851,0,1,15.833333333333334,10,-0.7321,0,BRA
7600271,7600001,344.991,0,0,15.166666666666666,11,-0.9494,0,BRA
7601759,7600001,464.787,0,0,15.5,11,-1.0699,0,BRA
7601421,7600001,398.476,0,0,15.583333333333334,11,-1.7854,0,BRA
7627423,7600001,429.637,0,0,15.5,11,-1.0101,0,BRA
7612258,7600001,367.526,1,0,15.166666666666666,11,-0.657,0,BRA
7625770,7600001,441.48,1,0,15.166666666666666,11,-1.9283,0,BRA
7625849,7600001,271.352,1,0,15.75,11,-0.8852,0,BRA
7615452,7600001,290.715,1,0,15.5,11,0.1581,0,BRA
7617638,7600001,454.83,0,0,15.75,11,-0.9092,0,BRA
7603781,7600001,346.838,0,0,15.583333333333334,11,-0.8608,0,BRA
7617971,7600001,352.98,0,0,15.916666666666666,11,0.4048,0,BRA
7601123,7600001,472.759,0,0,15.25,11,-1.332,0,BRA
7622425,7600001,333.334,0,0,15.25,11,1.34,0,BRA
7627046,7600001,278.403,1,0,15.583333333333334,11,0.5121,0,BRA
7620069,7600001,436.724,1,0,15.083333333333334,11,0.2952,0,BRA
7602861,7600001,469.438,1,0,15.416666666666666,11,-1.3278,0,BRA
7623390,7600002,378.11,0,0,15.5,10,-2.8362,0,BRA
7620600,7600002,378.751,0,0,15.333333333333334,10,-2.4093,0,BRA
7607655,7600002,433.44,0,0,15.75,10,-2.3363,0,BRA
7612225,7600002,408.752,0,0,15.916666666666666,10,-2.8316,0,BRA
7609526,7600002,476.832,1,0,15.75,10,-0.1702,0,BRA
7630219,7600002,411.777,1,0,15.666666666666666,10,-2.734,0,BRA
7628143,7600002,420.05,1,0,15.916666666666666,10,-1.1842,0,BRA
7608705,7600002,440.847,1,0,16,10,-1.5849,0,BRA
7611051,7600002,474.149,0,0,15.416666666666666,11,-2.4107,0,BRA
7614696,7600002,393.965,0,0,15.333333333333334,11,-1.4202,0,BRA
7626008,7600002,504.076,0,0,15.5,11,-2.5443,0,BRA
7612011,7600002,436.495,0,0,15.416666666666666,11,-1.2768,0,BRA
7609457,7600002,403.743,0,0,15.25,11,-0.8085,0,BRA
7604153,7600002,411.939,0,1,15.333333333333334,11,-1.9167,0,BRA
7628011,7600002,526.03,0,0,15.5,11,-0.1493,0,BRA
7621021,7600002,496.913,0,0,15.416666666666666,11,-2.3084,0,BRA
7624257,7600002,392.93,0,0,15.5,11,-1.5683,0,BRA
7625399,7600002,587.192,0,0,15.166666666666666,11,-0.882,0,BRA
7604277,7600002,383.843,1,0,15.75,10,-1.945,0,BRA
7611155,7600002,485.708,0,0,15.5,11,-1.9041,0,BRA
7604351,7600002,486.144,0,0,15.916666666666666,11,0.3028,0,BRA
7607249,7600002,494.612,0,0,16,10,0.7432,0,BRA
7620220,7600002,403.105,0,0,15.25,10,-0.7967,0,BRA
7619194,7600002,264.86,0,0,15.5,10,-2.0028,0,BRA
7624442,7600002,400.663,0,0,15.666666666666666,10,-0.9388,0,BRA
7623468,7600002,446.659,1,0,15.833333333333334,11,0.3198,0,BRA
7610866,7600002,450.16,1,0,15.833333333333334,11,-1.7296,0,BRA
7608274,7600002,597.158,1,0,15.083333333333334,11,-0.6337,0,BRA
7629239,7600002,512.733,1,0,15.25,11,-0.7358,0,BRA
7626316,7600002,528.21,1,0,15.75,11,-1.4491,0,BRA
7606997,7600002,482.215,1,0,15.833333333333334,11,0.2217,0,BRA
7622391,7600002,465.043,1,0,16,11,-0.603,0,BRA
7628627,7600002,402.294,0,0,15.25,11,0.5428,0,BRA
7601636,7600002,301.112,0,0,15.25,11,-1.3005,0,BRA
7610723,7600002,466.774,0,0,15.666666666666666,11,-0.9555,0,BRA
7622673,7600002,569.83,1,0,16,11,-1.1453,0,BRA
7618881,7600002,427.872,1,0,15.583333333333334,11,-1.497,0,BRA
7607947,7600002,373.532,1,0,15.916666666666666,11,-2.3343,0,BRA
7627267,7600002,450.529,0,0,15.083333333333334,12,-1.8736,0,BRA
7611072,7600002,389.247,0,0,15.083333333333334,12,-0.6395,0,BRA
7604177,7600003,349.58,1,NA,15.916666666666666,10,NA,NA,BRA
7616446,7600003,395.748,1,1,15.166666666666666,10,-0.9532,NA,BRA
7606039,7600003,445.266,1,0,15.666666666666666,10,0.2185,NA,BRA
