ID;Ex01;Am01;Re01;Ne01;Ap01;Ex02;Am02;Re02;Ne02;Ap02;Ex03;Am03;Re03;Ne03;Ap03;Ex04;Am04;Re04;Ne04;Ap04;Ex05;Am05;Re05;Ne05;Ap05;Ex06;Am06;Re06;Ne06;Ap06;Ex07;Am07;Re07;Ne07;Ap07;Ex08;Am08;Re08;Ne08;Ap08;Ex09;Am09;Re09;Ne09;Ap09;Ex10;Am10;Re10;Ne10;Ap10;RSES01;RSES02;RSES03;RSES04;RSES05;RSES06;RSES07;RSES08;RSES09;RSES10
1;2;3;2;2;3;2;4;2;2;4;3;2;4;3;4;2;3;4;3;3;2;2;2;2;4;3;2;3;3;4;2;3;1;4;3;3;3;2;3;3;2;3;1;2;2;3;3;2;3;4;6;6;3;6;6;4;5;4;5;6
2;3;4;4;3;4;3;4;3;3;3;4;4;4;4;3;2;4;4;3;4;3;4;4;3;3;3;3;4;3;4;3;4;5;3;4;2;3;4;2;3;3;4;4;3;4;2;3;3;2;3;6;5;6;5;6;5;5;6;7;7
3;4;4;3;1;5;5;4;2;2;5;5;3;2;2;5;4;3;3;1;5;4;4;3;1;4;5;2;3;1;5;4;4;2;1;5;4;3;4;1;5;4;2;2;2;3;5;3;4;1;5;7;7;7;7;7;7;6;7;7;7
4;4;4;3;2;3;3;3;5;3;4;4;4;3;2;3;2;4;4;3;3;3;4;4;2;3;3;3;4;3;3;2;3;4;3;4;2;3;4;2;2;2;3;3;2;4;3;3;4;3;3;5;5;3;5;6;4;6;3;3;3
5;3;3;3;4;4;3;3;4;2;4;4;4;3;2;2;4;3;4;4;4;3;4;3;3;3;5;2;3;4;4;3;3;4;3;4;3;3;4;2;3;4;3;3;4;3;4;3;4;2;3;7;6;7;5;7;5;5;6;6;7
6;3;2;4;3;5;2;4;5;3;5;3;5;5;5;5;1;5;4;5;5;1;4;3;2;3;2;3;5;3;5;4;4;4;2;5;1;4;4;2;3;1;4;4;3;4;1;4;4;3;5;4;5;5;4;6;6;6;5;4;1
7;4;5;3;1;4;4;5;3;2;2;5;5;3;3;2;5;5;5;2;2;5;5;3;2;3;5;3;2;2;4;5;4;3;1;4;3;5;5;2;3;5;5;2;1;5;5;5;2;1;3;6;6;6;5;7;6;5;6;7;7
8;2;3;4;2;1;1;4;2;2;3;3;5;4;4;4;2;4;4;2;3;3;4;4;3;4;3;3;2;2;4;2;4;4;2;3;2;4;4;2;1;2;3;3;2;4;2;4;3;2;4;5;5;3;6;6;5;6;6;6;6
9;2;4;4;2;4;2;4;5;2;4;3;5;3;2;2;2;4;5;4;3;4;4;4;4;4;3;3;5;1;2;2;4;5;4;5;1;4;5;4;2;1;4;4;4;4;3;4;4;4;2;7;7;7;7;7;6;6;2;7;2
10;3;5;4;3;4;4;4;5;3;4;5;4;4;4;2;5;5;5;3;4;4;5;4;4;3;4;3;5;3;3;5;5;5;2;3;2;5;5;2;3;3;4;3;3;4;4;4;3;2;4;7;6;7;7;7;6;6;6;7;7
11;4;4;2;2;5;4;5;4;1;4;4;4;4;2;4;4;4;5;1;3;4;4;3;2;4;4;2;4;2;4;3;4;2;4;4;2;3;4;2;3;4;4;4;2;3;4;4;4;2;4;6;6;6;6;6;6;6;6;6;6
12;3;5;4;2;2;2;4;5;2;4;4;5;4;4;3;2;4;4;3;4;4;4;4;2;3;4;3;4;2;3;2;4;4;2;4;3;4;4;2;3;3;4;3;2;4;3;4;4;2;3;3;6;4;6;5;4;5;3;5;6
13;5;5;2;2;4;5;5;5;2;5;5;5;2;1;5;4;4;4;2;4;5;3;5;2;4;5;4;4;1;5;5;2;4;2;4;3;5;5;2;2;2;5;2;4;4;4;4;4;1;5;7;7;1;6;7;7;7;3;7;7
14;4;4;3;1;4;3;4;3;2;4;3;5;4;3;3;2;3;4;2;4;3;3;3;2;4;4;3;4;2;4;3;4;4;3;4;3;3;4;2;3;3;4;4;2;4;3;3;4;2;4;6;6;6;6;6;6;5;6;6;6
15;4;5;3;3;3;4;4;4;3;3;4;3;4;4;3;4;4;4;3;4;3;4;4;3;4;4;3;4;2;3;4;4;4;3;3;3;4;4;3;2;3;4;3;2;4;4;3;4;3;4;6;6;6;6;6;6;5;3;6;6
16;4;2;5;2;5;4;4;5;1;2;4;1;4;4;4;4;2;4;2;2;4;2;5;2;5;4;3;5;2;4;2;2;5;2;5;5;3;4;1;3;1;4;5;5;4;3;2;5;2;5;7;7;7;7;7;7;7;7;7;7
17;3;2;4;2;5;4;4;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;3;3;2;4;2;4;4;4;4;3;4;4;4;5;3;4;2;4;4;3;5;4;4;4;3;3;6;6;6;6;6;5;6;3;4;3
