"","nr","lwage","year","ethnicity","union","educ"
"1",13,1.19754016399384,1980,0,0,14
"2",13,1.85306000709534,1981,0,1,14
"9",17,1.67596244812012,1980,0,0,13
"10",17,1.51839816570282,1981,0,0,13
"17",18,1.5159627199173,1980,0,0,12
"18",18,1.73537909984589,1981,0,0,12
"25",45,1.89411497116089,1980,0,1,12
"26",45,1.47115933895111,1981,0,1,12
"33",110,1.94877481460571,1980,0,1,12
"34",110,1.96225929260254,1981,0,0,12
"41",120,0.258554875850677,1980,0,0,10
"42",120,1.31997168064117,1981,0,0,10
"49",126,1.73728549480438,1980,0,0,13
"50",126,1.98960089683533,1981,0,0,13
"57",150,1.20873534679413,1980,0,0,12
"58",150,1.19403970241547,1981,0,0,12
"65",162,0.502470135688782,1980,0,1,11
"66",162,1.06491231918335,1981,0,0,11
"73",166,1.00529396533966,1980,0,1,10
"74",166,0.937687397003174,1981,0,1,10
"81",189,1.13054537773132,1980,0,0,14
"82",189,0.83624804019928,1981,0,0,14
"89",193,1.56569194793701,1980,0,0,14
"90",193,2.49387526512146,1981,0,0,14
"97",209,1.91800320148468,1980,0,0,11
"98",209,0.765407741069794,1981,0,0,11
"105",212,1.7844717502594,1980,0,0,11
"106",212,2.17998266220093,1981,0,0,11
"113",218,2.01331329345703,1980,0,0,15
"114",218,1.9621524810791,1981,0,0,15
"121",243,1.56418132781982,1980,0,0,12
"122",243,1.6835458278656,1981,0,0,12
"129",259,2.10718965530396,1980,0,1,12
"130",259,2.0890109539032,1981,0,1,12
"137",260,1.62991201877594,1980,0,1,11
"138",260,1.77511310577393,1981,0,1,11
"145",309,1.78607571125031,1980,0,0,12
"146",309,2.28076601028442,1981,0,0,12
"153",351,1.64338684082031,1980,0,0,12
"154",351,1.3355804681778,1981,0,0,12
"161",353,1.83819723129272,1980,0,0,12
"162",353,1.81707727909088,1981,0,1,12
"169",383,1.46288812160492,1980,1,0,12
"170",383,1.57021725177765,1981,1,0,12
"177",408,1.65209496021271,1980,0,0,11
"178",408,1.48953497409821,1981,0,0,11
"185",424,2.16583943367004,1980,0,0,12
"186",424,2.32539987564087,1981,0,0,12
"193",464,0.972626268863678,1980,0,0,13
"194",464,1.00310444831848,1981,0,0,13
"201",483,1.68262708187103,1980,0,0,12
"202",483,1.66170632839203,1981,0,0,12
"209",556,1.93934547901154,1980,0,0,14
"210",556,2.12026357650757,1981,0,0,14
"217",560,1.38684725761414,1980,0,0,12
"218",560,2.12758183479309,1981,0,0,12
"225",569,0.68372505903244,1980,0,0,12
"226",569,1.07898902893066,1981,0,0,12
"233",583,1.62677216529846,1980,0,0,12
"234",583,1.88087499141693,1981,0,0,12
"241",647,1.39670622348785,1980,0,1,12
"242",647,1.51982569694519,1981,0,1,12
"249",658,1.73141729831696,1980,0,1,12
"250",658,1.81375896930695,1981,0,0,12
"257",684,2.82178258895874,1980,0,0,12
"258",684,2.17998266220093,1981,0,0,12
"265",711,1.23202455043793,1980,0,0,11
"266",711,1.36649167537689,1981,0,0,11
"273",729,1.95957958698273,1980,0,1,13
"274",729,1.89333927631378,1981,0,0,13
"281",731,1.65563893318176,1980,0,0,12
"282",731,1.46425592899323,1981,0,0,12
"289",732,1.49727058410645,1980,0,0,12
"290",732,1.60171592235565,1981,0,0,12
"297",793,0.891528427600861,1980,0,0,14
"298",793,1.93102157115936,1981,0,0,14
"305",797,0.992524027824402,1980,0,0,10
"306",797,2.34514474868774,1981,0,1,10
"313",800,1.58776152133942,1980,0,1,11
"314",800,1.60943794250488,1981,0,1,11
"321",813,1.55621314048767,1980,0,0,13
"322",813,0.422912031412125,1981,0,0,13
"329",823,-0.372661352157593,1980,0,0,10
"330",823,0.606314420700073,1981,0,0,10
"337",827,0.883685231208801,1980,0,0,12
"338",827,1.42486667633057,1981,0,0,12
"345",847,1.56272780895233,1980,1,1,14
"346",847,1.66449773311615,1981,1,1,14
"353",851,1.87581312656403,1980,0,0,12
"354",851,1.95667612552643,1981,0,0,12
"361",863,1.57045090198517,1980,0,0,12
"362",863,1.56218504905701,1981,0,0,12
"369",873,0.59686291217804,1980,0,1,10
"370",873,0.474991172552109,1981,0,0,10
"377",891,2.00004386901855,1980,0,1,12
"378",891,2.3077118396759,1981,0,1,12
"385",908,0.997580647468567,1980,0,1,10
"386",908,0.230986729264259,1981,0,1,10
"393",910,1.86539328098297,1980,1,0,13
"394",910,2.13424968719482,1981,1,0,13
"401",916,1.17544066905975,1980,0,0,13
"402",916,1.41161215305328,1981,0,0,13
"409",919,1.56800949573517,1980,0,0,12
"410",919,1.3958637714386,1981,0,1,12
"417",922,1.60250639915466,1980,0,0,12
"418",922,2.03498983383179,1981,0,0,12
"425",924,0.853558540344238,1980,0,0,11
"426",924,0.892167031764984,1981,0,0,11
"433",925,2.13524699211121,1980,0,0,15
"434",925,2.22254228591919,1981,0,0,15
"441",944,0.819390892982483,1980,0,0,13
"442",944,0.589594662189484,1981,0,0,13
"449",945,1.0396249294281,1980,0,0,14
"450",945,1.35986113548279,1981,0,0,14
"457",947,2.23645687103271,1980,0,1,13
"458",947,2.3766930103302,1981,0,1,13
"465",955,2.070805311203,1980,0,1,12
"466",955,1.98892748355865,1981,0,1,12
"473",965,1.41754031181335,1980,0,0,12
"474",965,1.47810196876526,1981,0,0,12
"481",996,1.55764269828796,1980,0,0,11
"482",996,1.48243820667267,1981,0,0,11
"489",1007,1.44799959659576,1980,0,0,12
"490",1007,1.75253880023956,1981,0,0,12
"497",1054,0.72466367483139,1980,0,0,10
"498",1054,1.79426264762878,1981,0,0,10
"505",1064,1.90311825275421,1980,0,0,12
"506",1064,2.02107095718384,1981,0,0,12
"513",1081,1.08799684047699,1980,0,0,10
"514",1081,1.24914455413818,1981,0,0,10
"521",1085,1.88712394237518,1980,0,0,12
"522",1085,1.48152124881744,1981,0,0,12
"529",1091,1.11100292205811,1980,0,1,9
"530",1091,1.16209256649017,1981,0,0,9
"537",1094,1.34263908863068,1980,0,0,12
"538",1094,1.40649712085724,1981,0,0,12
"545",1096,1.26407670974731,1980,0,0,11
"546",1096,1.27808082103729,1981,0,0,11
"553",1098,1.55196785926819,1980,0,0,14
"554",1098,2.12823176383972,1981,0,0,14
"561",1102,0.881084501743317,1980,0,0,13
"562",1102,2.04022073745728,1981,0,0,13
"569",1107,1.54330968856812,1980,0,0,12
"570",1107,1.57021725177765,1981,0,0,12
"577",1142,1.41311228275299,1980,2,0,14
"578",1142,1.66777348518372,1981,2,0,14
"585",1156,1.30281758308411,1980,1,0,12
"586",1156,1.33072447776794,1981,1,0,12
"593",1180,1.85346472263336,1980,0,0,13
"594",1180,1.60943794250488,1981,0,0,13
"601",1190,1.51034271717072,1980,1,0,12
"602",1190,1.51085710525513,1981,1,0,12
"609",1204,1.62238228321075,1980,0,0,8
"610",1204,1.75253880023956,1981,0,1,8
"617",1249,1.53074657917023,1980,0,0,11
"618",1249,1.33999288082123,1981,0,0,11
"625",1272,1.75086581707001,1980,0,0,12
"626",1272,1.83237636089325,1981,0,0,12
"633",1311,0.556780099868774,1980,0,0,15
"634",1311,1.55471301078796,1981,0,0,15
"641",1316,1.54330968856812,1980,0,0,8
"642",1316,1.68948066234589,1981,0,0,8
"649",1318,1.05977630615234,1980,0,0,8
"650",1318,1.46770167350769,1981,0,0,8
"657",1345,1.76469814777374,1980,0,0,12
"658",1345,-0.723918855190277,1981,0,0,12
"665",1397,1.77008306980133,1980,0,1,12
"666",1397,1.60171592235565,1981,0,1,12
"673",1434,0.206286430358887,1980,0,0,10
"674",1434,1.12104964256287,1981,0,0,10
"681",1492,2.03645539283752,1980,0,0,13
"682",1492,1.14236831665039,1981,0,0,13
"689",1496,1.17833602428436,1980,0,1,12
"690",1496,1.08728718757629,1981,0,1,12
"697",1506,0.974396646022797,1980,0,0,12
"698",1506,2.46510410308838,1981,0,0,12
"705",1515,1.03377938270569,1980,0,0,10
"706",1515,1.29264092445374,1981,0,1,10
"713",1520,1.3759229183197,1980,1,1,12
"714",1520,1.35390782356262,1981,1,1,12
"721",1528,0.9788978099823,1980,1,1,10
"722",1528,1.24171316623688,1981,1,0,10
"729",1554,1.31186735630035,1980,0,0,12
"730",1554,1.22266495227814,1981,0,0,12
"737",1575,1.57605147361755,1980,0,0,13
"738",1575,1.74201738834381,1981,0,0,13
