"","treatment","id","change","time","sociability"
"1","Vehicle","mouse_1",-1.2034648,"pre",63.9871851
"2","Vehicle","mouse_2",0.997005799999997,"pre",58.4825871
"3","Vehicle","mouse_3",-17.2811997,"pre",59.7735716
"4","Vehicle","mouse_4",4.4641147,"pre",51.0754017
"5","Vehicle","mouse_5",-12.999641,"pre",55.8808155
"6","Vehicle","mouse_6",2.0109056,"pre",38.686015
"7","Vehicle","mouse_7",14.7786628,"pre",46.8213372
"8","Vehicle","mouse_8",0.3785867,"pre",62.6084263
"9","Vehicle","mouse_9",-1.5383068,"pre",54.5901379
"10","IL-17","mouse_10",4.8241926,"pre",60.99353
"11","IL-17","mouse_11",11.3828692,"pre",66.2765671
"12","IL-17","mouse_12",20.4426946,"pre",60.1260258
"13","IL-17","mouse_13",14.3211158,"pre",49.444707
"14","IL-17","mouse_14",22.5455878,"pre",55.1138485
"15","IL-17","mouse_15",19.1617138,"pre",61.4070066
"16","IL-17","mouse_16",-3.0485906,"pre",52.4932976
"17","IL-17","mouse_17",2.477048,"pre",55.1138485
"18","IL-17","mouse_18",-6.9764191,"pre",61.4070066
"19","IL-17","mouse_19",16.2022239,"pre",52.4932976
"20","IL-17","mouse_20",14.7934367,"pre",53.5461576
"21","Vehicle","mouse_1",-1.2034648,"post",62.7837203
"22","Vehicle","mouse_2",0.997005799999997,"post",59.4795929
"23","Vehicle","mouse_3",-17.2811997,"post",42.4923719
"24","Vehicle","mouse_4",4.4641147,"post",55.5395164
"25","Vehicle","mouse_5",-12.999641,"post",42.8811745
"26","Vehicle","mouse_6",2.0109056,"post",40.6969206
"27","Vehicle","mouse_7",14.7786628,"post",61.6
"28","Vehicle","mouse_8",0.3785867,"post",62.987013
"29","Vehicle","mouse_9",-1.5383068,"post",53.0518311
"30","IL-17","mouse_10",4.8241926,"post",65.8177226
"31","IL-17","mouse_11",11.3828692,"post",77.6594363
"32","IL-17","mouse_12",20.4426946,"post",80.5687204
"33","IL-17","mouse_13",14.3211158,"post",63.7658228
"34","IL-17","mouse_14",22.5455878,"post",77.6594363
"35","IL-17","mouse_15",19.1617138,"post",80.5687204
"36","IL-17","mouse_16",-3.0485906,"post",49.444707
"37","IL-17","mouse_17",2.477048,"post",57.5908965
"38","IL-17","mouse_18",-6.9764191,"post",54.4305875
"39","IL-17","mouse_19",16.2022239,"post",68.6955215
"40","IL-17","mouse_20",14.7934367,"post",68.3395943
